Rank,Name,Neighborhood,Zoning Type,Plot Size,Building Size,Distance to Ocean,Distance to Bay,Max # of Floors,Min # of Floors,Plot Area (m²),Min Building Height (m),Max Building Height (m),Distance to Ocean (m),Distance to Bay (m)
576,FL-159,Flashing Lights,Industrial,Mini,Lowrise,Medium,Far,13,11,2706,55,68,318,1337
576,FL-180,Flashing Lights,Industrial,Mini,Lowrise,Medium,Far,15,12,2512,64,79,336,1233
576,FL-210,Flashing Lights,Industrial,Mini,Lowrise,Medium,Far,13,11,2494,55,68,323,1105
581,SM-121,Space Mind,Mixed Use,Mini,Lowrise,Far,Close,18,15,3430,75,93,2298,277
582,DZ-435,District ZERO,Commercial,Mid,Lowrise,Medium,Far,4,3,4019,16,20,315,1028
583,NS-679,North Star,Industrial,Mid,Lowrise,Far,Far,9,7,4717,36,45,673,1147
583,NS-700,North Star,Industrial,Mid,Lowrise,Far,Far,10,8,4554,41,51,819,940
583,NS-701,North Star,Industrial,Mid,Lowrise,Far,Far,14,11,3860,58,72,721,996
583,NS-715,North Star,Industrial,Mid,Lowrise,Far,Far,12,10,3612,50,62,1573,630
583,NS-719,North Star,Industrial,Mid,Lowrise,Far,Far,8,7,4473,36,44,824,894
583,NS-791,North Star,Industrial,Mid,Lowrise,Far,Far,8,7,3904,36,44,742,778
583,NS-792,North Star,Industrial,Mid,Lowrise,Far,Far,14,11,3812,58,72,686,813
583,NS-874,North Star,Industrial,Mid,Lowrise,Far,Far,10,8,4038,43,53,601,699
591,FL-11,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,9,7,2496,39,48,1332,152
591,FL-40,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,15,12,2531,62,77,1859,221
591,FL-75,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,13,11,3440,55,68,2252,249
591,FL-167,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,10,8,3427,40,50,2596,297
591,FL-177,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,13,10,3411,52,65,2597,276
591,FL-211,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,13,10,3135,52,65,3465,126
591,FL-256,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,8,6,3207,33,41,3326,255
591,FL-257,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,11,9,3212,46,57,3266,276
591,FL-258,Flashing Lights,Industrial,Mini,Lowrise,Far,Close,9,7,3174,38,47,3266,213
600,TG-37,Tranquility Gardens,Mixed Use,Mini,Lowrise,Far,Close,16,13,2969,67,83,3666,228
601,SM-612,Space Mind,Commercial,Mid,Lowrise,Far,Close,4,3,4546,16,20,1268,172
602,TG-1,Tranquility Gardens,Commercial,Mid,Lowrise,Far,Close,5,4,4239,24,29,2813,138
602,TG-6,Tranquility Gardens,Commercial,Mid,Lowrise,Far,Close,9,7,3964,39,48,2874,209
604,NS-704,North Star,Mixed Use,Mini,Lowrise,Medium,Far,16,12,2923,64,80,426,1202
604,NS-722,North Star,Mixed Use,Mini,Lowrise,Medium,Far,19,16,2731,80,99,381,1192
606,SM-297,Space Mind,Mixed Use,Mini,Lowrise,Far,Medium,9,7,3075,39,48,1358,352
607,NS-895,North Star,Mixed Use,Mini,Lowrise,Far,Close,18,15,3477,75,93,2066,137
608,FL-50,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,13,11,2810,56,69,1236,488
608,FL-84,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,10,8,3433,44,54,1938,563
608,FL-91,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,13,10,3072,52,65,2302,325
608,FL-115,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,15,12,3549,62,77,2136,534
608,FL-120,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,12,9,2813,49,61,2241,495
608,FL-146,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,15,12,2438,63,78,2595,416
608,FL-168,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,8,6,3432,33,41,2537,352
608,FL-173,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,11,9,2429,47,58,1322,437
608,FL-175,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,12,10,3435,52,64,1382,359
608,FL-178,Flashing Lights,Industrial,Mini,Lowrise,Far,Medium,13,10,2530,54,67,2379,415
618,SM-29,Space Mind,Commercial,Mid,Lowrise,Far,Medium,5,4,3635,23,28,1931,550
618,SM-39,Space Mind,Commercial,Mid,Lowrise,Far,Medium,4,3,4256,16,20,1886,595
620,SM-10,Space Mind,Mixed Use,Mini,Lowrise,Far,Far,19,15,2657,76,95,1604,684
620,SM-165,Space Mind,Mixed Use,Mini,Lowrise,Far,Far,16,13,2755,68,84,989,1026
622,NS-537,North Star,Commercial,Mid,Lowrise,Far,Close,4,3,4711,17,21,1835,219
623,TG-437,Tranquility Gardens,Commercial,Mid,Lowrise,Far,Medium,4,3,3643,16,20,3959,382
623,TG-442,Tranquility Gardens,Commercial,Mid,Lowrise,Far,Medium,4,3,3643,16,20,3948,365
625,HH-469,Haven Heights,Commercial,Mid,Lowrise,Far,Close,4,3,4523,16,20,2363,137
626,FL-54,Flashing Lights,Industrial,Mini,Lowrise,Far,Far,12,9,2944,49,61,647,952
626,FL-72,Flashing Lights,Industrial,Mini,Lowrise,Far,Far,3,3,2773,15,18,1634,706
628,LM-6,Little Meow,Industrial,Mini,Lowrise,Far,Medium,8,6,3276,33,41,920,511
628,LM-155,Little Meow,Industrial,Mini,Lowrise,Far,Medium,8,6,2451,32,40,1046,387
628,LM-166,Little Meow,Industrial,Mini,Lowrise,Far,Medium,8,6,2419,32,40,984,404
631,SM-40,Space Mind,Commercial,Mid,Lowrise,Far,Far,4,3,4682,17,21,1840,640
631,SM-66,Space Mind,Commercial,Mid,Lowrise,Far,Far,4,3,4240,17,21,1176,1089
631,SM-496,Space Mind,Commercial,Mid,Lowrise,Far,Far,4,3,4526,19,23,789,869
634,TG-341,Tranquility Gardens,Commercial,Mid,Lowrise,Far,Far,4,3,4186,16,20,3988,853
634,TG-349,Tranquility Gardens,Commercial,Mid,Lowrise,Far,Far,6,5,4695,26,32,3946,784
634,TG-350,Tranquility Gardens,Commercial,Mid,Lowrise,Far,Far,7,5,4428,28,35,3831,849
634,TG-486,Tranquility Gardens,Commercial,Mid,Lowrise,Far,Far,4,3,4179,16,20,2828,701
638,LM-11,Little Meow,Industrial,Mini,Lowrise,Far,Far,10,8,2924,42,52,2293,1337
639,NS-758,North Star,Mixed Use,Mini,Lowrise,Far,Medium,19,15,3092,78,97,1788,564
639,NS-803,North Star,Mixed Use,Mini,Lowrise,Far,Medium,18,14,2921,72,90,1595,331
639,NS-843,North Star,Mixed Use,Mini,Lowrise,Far,Medium,16,13,2537,66,82,1958,339
639,NS-898,North Star,Mixed Use,Mini,Lowrise,Far,Medium,16,13,2983,66,82,848,419
639,NS-909,North Star,Mixed Use,Mini,Lowrise,Far,Medium,15,12,3592,62,77,712,529
644,SM-264,Space Mind,Residential,Mid,Lowrise,Far,Medium,5,4,4323,21,26,1281,572
645,NS-762,North Star,Mixed Use,Mini,Lowrise,Far,Far,18,15,2813,76,94,687,888
645,NS-861,North Star,Mixed Use,Mini,Lowrise,Far,Far,18,15,2711,75,93,704,660
647,FL-130,Flashing Lights,Industrial,Micro,Lowrise,Medium,Far,11,9,2233,45,56,570,1187
648,FL-1,Flashing Lights,Commercial,Mini,Lowrise,Far,Close,4,3,2692,16,20,1403,106
648,FL-2,Flashing Lights,Commercial,Mini,Lowrise,Far,Close,4,3,2762,16,20,1338,92
648,FL-4,Flashing Lights,Commercial,Mini,Lowrise,Far,Close,4,3,2867,17,21,1341,147
648,FL-6,Flashing Lights,Commercial,Mini,Lowrise,Far,Close,4,3,2867,19,23,1342,176
648,FL-7,Flashing Lights,Commercial,Mini,Lowrise,Far,Close,6,4,2587,24,30,1349,152
648,FL-8,Flashing Lights,Commercial,Mini,Lowrise,Far,Close,4,3,2525,17,21,1340,146
654,FL-196,Flashing Lights,Industrial,Micro,Lowrise,Far,Close,13,10,2381,53,66,1997,252
654,FL-208,Flashing Lights,Industrial,Micro,Lowrise,Far,Close,8,6,2066,32,40,3416,149
656,TG-3,Tranquility Gardens,Mixed Use,Micro,Lowrise,Far,Close,19,15,2244,77,96,3194,133
657,HH-461,Haven Heights,Commercial,Mid,Lowrise,Far,Far,4,4,3658,20,24,1133,866
658,LM-7,Little Meow,Commercial,Mini,Lowrise,Medium,Far,16,12,3175,64,80,539,890
658,LM-177,Little Meow,Commercial,Mini,Lowrise,Medium,Far,4,3,2843,16,20,499,1018
658,LM-182,Little Meow,Commercial,Mini,Lowrise,Medium,Far,4,3,3246,16,20,490,1019
658,LM-203,Little Meow,Commercial,Mini,Lowrise,Medium,Far,4,3,3219,16,20,487,1013
658,LM-204,Little Meow,Commercial,Mini,Lowrise,Medium,Far,6,5,2712,26,32,377,1123
658,LM-224,Little Meow,Commercial,Mini,Lowrise,Medium,Far,4,3,2988,16,20,476,1011
658,LM-261,Little Meow,Commercial,Mini,Lowrise,Medium,Far,5,4,2605,22,27,567,624
658,LM-265,Little Meow,Commercial,Mini,Lowrise,Medium,Far,4,3,3079,17,21,387,968
658,LM-266,Little Meow,Commercial,Mini,Lowrise,Medium,Far,4,4,3288,20,24,334,1022
658,LM-268,Little Meow,Commercial,Mini,Lowrise,Medium,Far,2,2,2923,11,13,480,655
658,LM-269,Little Meow,Commercial,Mini,Lowrise,Medium,Far,3,3,2509,15,18,436,731
658,LM-273,Little Meow,Commercial,Mini,Lowrise,Medium,Far,3,3,2406,15,18,393,748
658,LM-274,Little Meow,Commercial,Mini,Lowrise,Medium,Far,4,4,3205,20,24,318,1007
671,LM-271,Little Meow,Industrial,Micro,Lowrise,Medium,Far,7,6,2187,30,37,398,687
672,LM-131,Little Meow,Commercial,Mini,Lowrise,Far,Close,3,2,3527,14,17,1711,199
672,LM-164,Little Meow,Commercial,Mini,Lowrise,Far,Close,4,3,3255,16,20,1040,286
672,LM-230,Little Meow,Commercial,Mini,Lowrise,Far,Close,7,6,2598,30,37,816,217
675,NS-721,North Star,Mixed Use,Micro,Lowrise,Medium,Far,18,14,2209,72,90,518,1102
675,NS-769,North Star,Mixed Use,Micro,Lowrise,Medium,Far,15,12,2231,62,77,382,1095
675,NS-919,North Star,Mixed Use,Micro,Lowrise,Medium,Far,16,13,1823,68,84,480,729
678,SM-224,Space Mind,Mixed Use,Micro,Lowrise,Far,Medium,15,12,1701,64,79,1530,368
678,SM-410,Space Mind,Mixed Use,Micro,Lowrise,Far,Medium,18,14,2289,74,92,1686,445
680,DZ-123,District ZERO,Mixed Use,Micro,Lowrise,Far,Medium,17,14,2158,70,87,1353,579
681,FL-77,Flashing Lights,Industrial,Micro,Lowrise,Far,Medium,13,11,2400,55,68,2006,467
681,FL-93,Flashing Lights,Industrial,Micro,Lowrise,Far,Medium,12,10,2297,52,64,2384,315
681,FL-94,Flashing Lights,Industrial,Micro,Lowrise,Far,Medium,14,11,2382,58,72,2138,432
681,FL-151,Flashing Lights,Industrial,Micro,Lowrise,Far,Medium,3,3,2259,15,18,1635,552
685,TG-584,Tranquility Gardens,Mixed Use,Micro,Lowrise,Far,Medium,19,15,2205,76,95,2360,378
686,FL-31,Flashing Lights,Residential,Mini,Lowrise,Far,Close,11,8,3260,44,55,2455,125
687,FL-242,Flashing Lights,Industrial,Nano,Lowrise,Far,Medium,8,7,1066,36,44,3116,303
688,DZ-200,District ZERO,Mixed Use,Micro,Lowrise,Far,Far,17,14,2232,70,87,984,978
689,FL-52,Flashing Lights,Commercial,Mini,Lowrise,Far,Far,4,3,2420,19,23,877,755
690,FL-124,Flashing Lights,Industrial,Micro,Lowrise,Far,Far,3,2,2098,13,16,1695,719
691,LM-258,Little Meow,Commercial,Mini,Lowrise,Far,Medium,4,3,3123,16,20,623,520
692,LM-165,Little Meow,Industrial,Micro,Lowrise,Far,Medium,12,10,1486,52,64,1001,357
693,SM-276,Space Mind,Industrial,Mini,Lowrise,Medium,Far,12,10,2800,51,63,491,1427
693,SM-611,Space Mind,Industrial,Mini,Lowrise,Medium,Far,8,6,3061,32,40,525,918
695,DZ-34,District ZERO,Industrial,Mini,Lowrise,Medium,Far,9,7,3217,36,45,535,1082
695,DZ-35,District ZERO,Industrial,Mini,Lowrise,Medium,Far,9,7,3233,38,47,478,1120
695,DZ-41,District ZERO,Industrial,Mini,Lowrise,Medium,Far,10,8,3307,44,54,365,1256
695,DZ-50,District ZERO,Industrial,Mini,Lowrise,Medium,Far,8,6,3059,34,42,509,1203
695,DZ-142,District ZERO,Industrial,Mini,Lowrise,Medium,Far,8,6,2849,32,40,447,1357
695,DZ-146,District ZERO,Industrial,Mini,Lowrise,Medium,Far,8,6,3061,32,40,500,1287
695,DZ-151,District ZERO,Industrial,Mini,Lowrise,Medium,Far,8,6,2647,32,40,521,1261
695,DZ-162,District ZERO,Industrial,Mini,Lowrise,Medium,Far,8,6,2767,32,40,448,1335
695,DZ-258,District ZERO,Industrial,Mini,Lowrise,Medium,Far,8,6,3349,33,41,335,1660
695,DZ-270,District ZERO,Industrial,Mini,Lowrise,Medium,Far,14,11,3082,59,73,547,1365
695,DZ-272,District ZERO,Industrial,Mini,Lowrise,Medium,Far,3,2,2679,13,16,358,1500
695,DZ-386,District ZERO,Industrial,Mini,Lowrise,Medium,Far,8,6,3251,32,40,379,1185
707,SM-120,Space Mind,Industrial,Mini,Lowrise,Far,Close,8,6,3396,34,42,2356,272
708,LM-13,Little Meow,Commercial,Mini,Lowrise,Far,Far,5,4,2924,22,27,2309,1374
708,LM-15,Little Meow,Commercial,Mini,Lowrise,Far,Far,4,3,2924,16,20,2326,1410
708,LM-16,Little Meow,Commercial,Mini,Lowrise,Far,Far,6,5,2436,28,34,2391,1455
708,LM-17,Little Meow,Commercial,Mini,Lowrise,Far,Far,4,3,2924,16,20,2318,1447
708,LM-19,Little Meow,Commercial,Mini,Lowrise,Far,Far,4,3,2680,16,20,2388,1419
708,LM-20,Little Meow,Commercial,Mini,Lowrise,Far,Far,6,5,2800,27,33,2310,1423
708,LM-87,Little Meow,Commercial,Mini,Lowrise,Far,Far,4,3,2877,16,20,1725,739
708,LM-90,Little Meow,Commercial,Mini,Lowrise,Far,Far,4,3,3083,18,22,1713,706
708,LM-96,Little Meow,Commercial,Mini,Lowrise,Far,Far,7,5,3429,29,36,1700,674
717,NS-752,North Star,Mixed Use,Micro,Lowrise,Far,Medium,19,16,2156,80,99,2089,502
717,NS-801,North Star,Mixed Use,Micro,Lowrise,Far,Medium,19,16,1742,80,99,1883,464
719,DZ-314,District ZERO,Industrial,Mini,Lowrise,Far,Close,4,3,3045,16,20,1906,292
719,DZ-317,District ZERO,Industrial,Mini,Lowrise,Far,Close,4,3,2653,16,20,1950,265
719,DZ-342,District ZERO,Industrial,Mini,Lowrise,Far,Close,4,3,3581,16,20,1873,256
719,DZ-361,District ZERO,Industrial,Mini,Lowrise,Far,Close,8,6,3100,32,40,1901,161
719,DZ-382,District ZERO,Industrial,Mini,Lowrise,Far,Close,8,6,3179,32,40,1899,125
724,FL-95,Flashing Lights,Residential,Mini,Lowrise,Far,Medium,9,7,2421,38,47,2082,473
725,TG-7,Tranquility Gardens,Industrial,Mini,Lowrise,Far,Close,11,9,3594,45,56,3218,134
725,TG-9,Tranquility Gardens,Industrial,Mini,Lowrise,Far,Close,8,6,2440,32,40,2413,276
725,TG-16,Tranquility Gardens,Industrial,Mini,Lowrise,Far,Close,9,7,3458,36,45,4585,136
725,TG-30,Tranquility Gardens,Industrial,Mini,Lowrise,Far,Close,11,9,3237,47,58,4571,213
725,TG-181,Tranquility Gardens,Industrial,Mini,Lowrise,Far,Close,8,6,2420,34,42,4700,177
730,HH-860,Haven Heights,Industrial,Mini,Lowrise,Medium,Medium,8,6,2559,33,41,590,464
730,HH-892,Haven Heights,Industrial,Mini,Lowrise,Medium,Medium,4,3,2837,17,21,590,492
730,HH-909,Haven Heights,Industrial,Mini,Lowrise,Medium,Medium,4,3,2948,17,21,578,542
733,NS-693,North Star,Industrial,Mini,Lowrise,Medium,Far,9,7,2440,36,45,415,1277
733,NS-875,North Star,Industrial,Mini,Lowrise,Medium,Far,12,10,3080,52,64,463,824
733,NS-884,North Star,Industrial,Mini,Lowrise,Medium,Far,4,3,2421,16,20,546,726
733,NS-904,North Star,Industrial,Mini,Lowrise,Medium,Far,15,12,2984,62,77,407,845
733,NS-905,North Star,Industrial,Mini,Lowrise,Medium,Far,12,10,2555,51,63,327,926
733,NS-910,North Star,Industrial,Mini,Lowrise,Medium,Far,8,7,3066,36,44,460,777
733,NS-920,North Star,Industrial,Mini,Lowrise,Medium,Far,12,10,2990,50,62,425,783
733,NS-940,North Star,Industrial,Mini,Lowrise,Medium,Far,11,8,3595,44,55,453,809
741,FL-22,Flashing Lights,Commercial,Micro,Lowrise,Far,Close,4,3,1456,16,20,2325,135
741,FL-24,Flashing Lights,Commercial,Micro,Lowrise,Far,Close,4,3,1531,16,20,2287,138
743,SM-2,Space Mind,Industrial,Mini,Lowrise,Far,Medium,11,9,3432,46,57,1857,542
743,SM-4,Space Mind,Industrial,Mini,Lowrise,Far,Medium,12,10,2530,51,63,2000,452
743,SM-317,Space Mind,Industrial,Mini,Lowrise,Far,Medium,8,6,2671,32,40,1269,436
743,SM-428,Space Mind,Industrial,Mini,Lowrise,Far,Medium,14,11,3089,59,73,1592,493
743,SM-465,Space Mind,Industrial,Mini,Lowrise,Far,Medium,11,9,3053,45,56,1555,474
743,SM-579,Space Mind,Industrial,Mini,Lowrise,Far,Medium,3,3,3022,15,18,998,518
749,LM-183,Little Meow,Commercial,Micro,Lowrise,Medium,Far,4,4,1935,20,24,389,1121
749,LM-199,Little Meow,Commercial,Micro,Lowrise,Medium,Far,4,3,2339,16,20,384,1119
749,LM-225,Little Meow,Commercial,Micro,Lowrise,Medium,Far,5,4,1748,21,26,354,1111
749,LM-252,Little Meow,Commercial,Micro,Lowrise,Medium,Far,6,5,2062,26,32,399,1006
749,LM-255,Little Meow,Commercial,Micro,Lowrise,Medium,Far,4,3,2006,17,21,389,1007
749,LM-263,Little Meow,Commercial,Micro,Lowrise,Medium,Far,5,4,1664,21,26,524,626
749,LM-272,Little Meow,Commercial,Micro,Lowrise,Medium,Far,4,3,1932,16,20,341,984
749,LM-276,Little Meow,Commercial,Micro,Lowrise,Medium,Far,3,3,2158,15,18,348,766
757,DZ-18,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2667,32,40,1396,319
757,DZ-92,District ZERO,Industrial,Mini,Lowrise,Far,Medium,9,7,3008,38,47,1627,415
757,DZ-108,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2947,32,40,1609,388
757,DZ-128,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2446,32,40,1489,410
757,DZ-132,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2554,32,40,1457,405
757,DZ-133,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2557,32,40,1401,464
757,DZ-138,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2969,32,40,1400,398
757,DZ-139,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2620,32,40,1373,413
757,DZ-164,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2756,32,40,1523,432
757,DZ-181,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,3384,32,40,1614,442
757,DZ-183,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2807,32,40,1601,492
757,DZ-195,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,3518,34,42,1733,408
757,DZ-196,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2860,32,40,1652,482
757,DZ-209,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,3218,32,40,1628,537
757,DZ-214,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,3279,32,40,1621,568
757,DZ-221,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2622,32,40,1856,371
757,DZ-222,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,3207,34,42,1710,504
757,DZ-226,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2554,32,40,1618,592
757,DZ-237,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,3195,32,40,1763,475
757,DZ-253,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2668,32,40,1681,583
757,DZ-315,District ZERO,Industrial,Mini,Lowrise,Far,Medium,6,5,3366,28,34,1862,322
757,DZ-364,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2983,32,40,1647,324
757,DZ-379,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,2860,32,40,1213,568
757,DZ-398,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,3218,32,40,1314,433
757,DZ-410,District ZERO,Industrial,Mini,Lowrise,Far,Medium,8,6,3280,32,40,1375,352
782,DZ-641,District ZERO,Commercial,Mini,Lowrise,Medium,Close,4,3,2405,17,21,311,282
783,NS-845,North Star,Industrial,Mini,Lowrise,Far,Close,14,11,2794,59,73,1745,290
783,NS-879,North Star,Industrial,Mini,Lowrise,Far,Close,12,10,2509,52,64,1227,210
783,NS-887,North Star,Industrial,Mini,Lowrise,Far,Close,14,11,2999,58,72,2061,215
783,NS-927,North Star,Industrial,Mini,Lowrise,Far,Close,9,7,2975,38,47,1089,144
783,NS-933,North Star,Industrial,Mini,Lowrise,Far,Close,9,7,2617,39,48,1093,175
788,TG-128,Tranquility Gardens,Industrial,Mini,Lowrise,Far,Medium,9,8,3020,40,49,4491,429
788,TG-474,Tranquility Gardens,Industrial,Mini,Lowrise,Far,Medium,9,7,2499,38,47,3435,506
788,TG-475,Tranquility Gardens,Industrial,Mini,Lowrise,Far,Medium,8,6,3455,33,41,3395,532
791,HH-22,Haven Heights,Industrial,Mini,Lowrise,Far,Close,4,3,2866,16,20,1051,186
791,HH-26,Haven Heights,Industrial,Mini,Lowrise,Far,Close,6,4,2732,24,30,1047,206
791,HH-38,Haven Heights,Industrial,Mini,Lowrise,Far,Close,4,3,2496,16,20,1156,167
791,HH-39,Haven Heights,Industrial,Mini,Lowrise,Far,Close,6,5,2494,26,32,1110,198
791,HH-40,Haven Heights,Industrial,Mini,Lowrise,Far,Close,4,3,2492,19,23,1065,230
791,HH-54,Haven Heights,Industrial,Mini,Lowrise,Far,Close,4,3,2434,16,20,1150,212
791,HH-55,Haven Heights,Industrial,Mini,Lowrise,Far,Close,4,3,2432,18,22,1059,275
798,FL-190,Flashing Lights,Commercial,Nano,Lowrise,Far,Close,4,3,1062,19,23,2445,286
798,FL-197,Flashing Lights,Commercial,Nano,Lowrise,Far,Close,6,5,1013,28,34,2442,231
798,FL-219,Flashing Lights,Commercial,Nano,Lowrise,Far,Close,5,4,1088,21,26,3273,201
798,FL-225,Flashing Lights,Commercial,Nano,Lowrise,Far,Close,4,3,982,16,20,3417,154
798,FL-236,Flashing Lights,Commercial,Nano,Lowrise,Far,Close,5,4,983,21,26,3416,151
798,FL-247,Flashing Lights,Commercial,Nano,Lowrise,Far,Close,4,3,1096,16,20,3046,268
798,FL-250,Flashing Lights,Commercial,Nano,Lowrise,Far,Close,4,3,1122,16,20,2987,209
805,LM-226,Little Meow,Commercial,Micro,Lowrise,Far,Close,6,5,1468,28,34,794,297
805,LM-238,Little Meow,Commercial,Micro,Lowrise,Far,Close,9,7,1579,38,47,769,300
807,LM-178,Little Meow,Commercial,Nano,Lowrise,Medium,Far,5,4,599,21,26,412,1104
807,LM-275,Little Meow,Commercial,Nano,Lowrise,Medium,Far,4,3,387,16,20,360,730
809,SM-11,Space Mind,Industrial,Mini,Lowrise,Far,Far,8,6,3081,32,40,1547,694
809,SM-30,Space Mind,Industrial,Mini,Lowrise,Far,Far,4,3,2571,16,20,1802,676
809,SM-56,Space Mind,Industrial,Mini,Lowrise,Far,Far,9,7,2756,39,48,1834,675
809,SM-59,Space Mind,Industrial,Mini,Lowrise,Far,Far,9,7,2810,39,48,1682,813
809,SM-70,Space Mind,Industrial,Mini,Lowrise,Far,Far,10,8,2738,43,53,1724,791
809,SM-103,Space Mind,Industrial,Mini,Lowrise,Far,Far,8,6,2447,33,41,710,1462
809,SM-110,Space Mind,Industrial,Mini,Lowrise,Far,Far,8,7,2599,35,43,759,1389
809,SM-166,Space Mind,Industrial,Mini,Lowrise,Far,Far,8,6,2757,32,40,933,1080
809,SM-597,Space Mind,Industrial,Mini,Lowrise,Far,Far,9,7,2783,39,48,776,689
809,SM-603,Space Mind,Industrial,Mini,Lowrise,Far,Far,10,8,3024,40,50,601,855
819,DZ-60,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3294,32,40,927,832
819,DZ-62,District ZERO,Industrial,Mini,Lowrise,Far,Far,10,8,3169,41,51,781,963
819,DZ-68,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3094,32,40,769,989
819,DZ-75,District ZERO,Industrial,Mini,Lowrise,Far,Far,10,8,3003,44,54,834,967
819,DZ-85,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,7,3153,35,43,1164,762
819,DZ-86,District ZERO,Industrial,Mini,Lowrise,Far,Far,9,7,3048,36,45,1112,793
819,DZ-88,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3059,32,40,877,960
819,DZ-99,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2983,32,40,990,927
819,DZ-117,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3041,32,40,914,1008
819,DZ-118,District ZERO,Industrial,Mini,Lowrise,Far,Far,9,8,3395,40,49,772,1105
819,DZ-124,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3218,32,40,1206,724
819,DZ-125,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3223,32,40,1150,781
819,DZ-127,District ZERO,Industrial,Mini,Lowrise,Far,Far,12,10,2571,52,64,777,1158
819,DZ-129,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3279,33,41,1190,713
819,DZ-150,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2907,32,40,628,1156
819,DZ-153,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2727,33,41,1251,601
819,DZ-161,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2859,32,40,810,995
819,DZ-163,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2771,32,40,1241,629
819,DZ-184,District ZERO,Industrial,Mini,Lowrise,Far,Far,14,11,2455,56,70,1354,661
819,DZ-185,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2458,32,40,1295,704
819,DZ-187,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,7,3085,36,44,855,1051
819,DZ-199,District ZERO,Industrial,Mini,Lowrise,Far,Far,10,8,3233,44,54,1136,861
819,DZ-213,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3028,32,40,886,1111
819,DZ-215,District ZERO,Industrial,Mini,Lowrise,Far,Far,13,10,3262,53,66,1562,617
819,DZ-217,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2418,32,40,1262,870
819,DZ-238,District ZERO,Industrial,Mini,Lowrise,Far,Far,10,8,2544,43,53,1612,615
819,DZ-267,District ZERO,Industrial,Mini,Lowrise,Far,Far,12,9,3354,48,60,792,1224
819,DZ-280,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,3203,32,40,1259,820
819,DZ-302,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2537,32,40,1026,882
819,DZ-303,District ZERO,Industrial,Mini,Lowrise,Far,Far,8,6,2518,32,40,967,925
